id,text,food_code,product_name,representative_ingredient,middle_category,serving_size,daily_intake_frequency,source_name,data_created_date,nutrient_count
hff_F103-001010000-0001,"제품명: 100억 생유산균 프로바이오틱스 플러스 아연 셀레늄 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 PRIME HEALTH LTD., 수입업체 (주)에코트레이딩, 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0001,100억 생유산균 프로바이오틱스 플러스 아연 셀레늄,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2023-08-09,5
hff_F102-050500000-0001,"제품명: 100억 유산균 분류: 프로바이오틱스 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 NATURAL LIFE NUTRITION INC., 수입업체 주식회사 네이처웰, 원산지 캐나다 출처: 식품의약품안전처",F102-050500000-0001,100억 유산균,프로바이오틱스,프로바이오틱스,1캡슐,1회,식품의약품안전처,2025-04-29,5
hff_F102-050500000-0002,"제품명: 100억 유산균 2.0 분류: 프로바이오틱스 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 NATURAL LIFE NUTRITION INC., 수입업체 (주)에스엠홀푸드, 원산지 캐나다 출처: 식품의약품안전처",F102-050500000-0002,100억 유산균 2.0,프로바이오틱스,프로바이오틱스,1캡슐,1회,식품의약품안전처,2023-11-13,5
hff_F102-050500000-0003,"제품명: 100억 유산균 알파 분류: 프로바이오틱스 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 KCI NUTRITION INC., 수입업체 케이씨아이코리아 주식회사, 원산지 캐나다 출처: 식품의약품안전처",F102-050500000-0003,100억 유산균 알파,프로바이오틱스,프로바이오틱스,1캡슐,1회,식품의약품안전처,2023-08-02,5
hff_F102-050500000-0004,"제품명: 100억 프로바이오틱스 골드 분류: 프로바이오틱스 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 NATURAL LIFE NUTRITION INC., 수입업체 (주)하이맥스, 원산지 캐나다 출처: 식품의약품안전처",F102-050500000-0004,100억 프로바이오틱스 골드,프로바이오틱스,프로바이오틱스,1캡슐,1회,식품의약품안전처,2022-03-23,5
hff_F103-001010000-0002,"제품명: 100억 프로바이오틱스 아연 플러스 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 PREMIUM NATURAL ONE PRODUCTS LTD., 수입업체 주식회사 유피아이엔티, 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0002,100억 프로바이오틱스 아연 플러스,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2024-06-12,5
hff_F101-015150000-0001,"제품명: 120-H-칼슘 분류: 칼슘 영양성분 제공 단위량: 1200mg 복용/섭취 기준: 1회분량 3캡슐, 1회분량중량/부피 1200mg, 1일섭취횟수 1회 주요 영양성분: 에너지 2kcal, 단백질 0g, 지방 0.02g, 탄수화물 0.42g, 칼슘 240mg, 나트륨 20mg 제조/수입 정보: 제조사 ASTRIM CO., LTD, 수입업체 컨티넨탈 엔터프라이즈, 원산지 일본 출처: 식품의약품안전처",F101-015150000-0001,120-H-칼슘,칼슘,칼슘,3캡슐,1회,식품의약품안전처,2022-08-04,6
hff_F103-001010000-0003,"제품명: 17종 100억 프로바이오틱스&아연 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 VIVA PHARMACEUTICAL INC., 수입업체 (주)디에스메디팜, 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0003,17종 100억 프로바이오틱스&아연,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2025-04-04,5
hff_F103-001010000-0004,"제품명: 17종 100억 프로바이오틱스&아연 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 PRIME HEALTH LTD., 수입업체 (주)에코트레이딩, 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0004,17종 100억 프로바이오틱스&아연,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2022-06-28,5
hff_F101-003030000-0001,"제품명: 5000IU 포텐시 비타민D 분류: 비타민 D 영양성분 제공 단위량: 150mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 150mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg, 비타민 D 125μg 제조/수입 정보: 제조사 B&A HEALTH PRODUCTS CO., 수입업체 (주)케이지엠팜, 원산지 미국 출처: 식품의약품안전처",F101-003030000-0001,5000IU 포텐시 비타민D,비타민 D,비타민 D,1캡슐,1회,식품의약품안전처,2024-05-09,6
hff_F101-006060000-0001,"제품명: 60세컨드 비타민B1 분류: 비타민 B1 영양성분 제공 단위량: 2000mg 복용/섭취 기준: 1회분량 4캡슐, 1회분량중량/부피 2000mg, 1일섭취횟수 2회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg, 티아민 0.18mg 제조/수입 정보: 제조사 ANC INC, 수입업체 (주)롱제비티엔터프라이즈, 원산지 미국 출처: 식품의약품안전처",F101-006060000-0001,60세컨드 비타민B1,비타민 B1,비타민 B1,4캡슐,2회,식품의약품안전처,2022-10-13,6
hff_F102-002020000-0001,"제품명: 6년근 홍삼정 에버타임 분류: 홍삼 영양성분 제공 단위량: 10000mg 복용/섭취 기준: 1회분량 1포, 1회분량중량/부피 10000mg, 1일섭취횟수 1회 주요 영양성분: 에너지 25kcal, 단백질 0g, 지방 0g, 탄수화물 6g, 당류 1g, 나트륨 0mg 제조/수입 정보: 제조사 IL HWA CO., LTD., 수입업체 (주)일화, 원산지 대한민국 출처: 식품의약품안전처",F102-002020000-0001,6년근 홍삼정 에버타임,홍삼,홍삼,1포,1회,식품의약품안전처,2024-05-28,6
hff_F102-002020000-0002,"제품명: 6년근 홍삼정 에버타임 하이엔드 분류: 홍삼 영양성분 제공 단위량: 10000mg 복용/섭취 기준: 1회분량 1포, 1회분량중량/부피 10000mg, 1일섭취횟수 1회 주요 영양성분: 에너지 25kcal, 단백질 0g, 지방 0g, 탄수화물 6g, 당류 1g, 나트륨 0mg 제조/수입 정보: 제조사 HUONS FOODIENCE THE THIRD FACTORY, 수입업체 (주)휴온스푸디언스, 원산지 대한민국 출처: 식품의약품안전처",F102-002020000-0002,6년근 홍삼정 에버타임 하이엔드,홍삼,홍삼,1포,1회,식품의약품안전처,2024-05-28,6
hff_F102-054540000-0001,"제품명: 88파워조인트 분류: 엠에스엠 영양성분 제공 단위량: 1100mg 복용/섭취 기준: 1회분량 2캡슐, 1회분량중량/부피 1100mg, 1일섭취횟수 2회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 KCI NUTRITION INC., 수입업체 엠에스협동조합(MS), 원산지 캐나다 출처: 식품의약품안전처",F102-054540000-0001,88파워조인트,엠에스엠,엠에스엠,2캡슐,2회,식품의약품안전처,2022-09-20,5
hff_F103-001010000-0005,"제품명: AWESOME 키즈오메가3 PLUS 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1680mg 복용/섭취 기준: 1회분량 1구미, 1회분량중량/부피 1680mg, 1일섭취횟수 2회 주요 영양성분: 에너지 3kcal, 단백질 0g, 지방 0.36g, 탄수화물 0g, 당류 0g, 나트륨 0mg, 비타민 D 5μg 제조/수입 정보: 제조사 VITUX AS, 수입업체 주식회사 스타팜, 원산지 노르웨이 출처: 식품의약품안전처",F103-001010000-0005,AWESOME 키즈오메가3 PLUS,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1구미,2회,식품의약품안전처,2023-02-02,7
hff_F103-001010000-0006,"제품명: BK 면역 플러스 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1300mg 복용/섭취 기준: 1회분량 1정, 1회분량중량/부피 1300mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 PROLIFE CO, 수입업체 주식회사 성진헬스케어, 원산지 미국 출처: 식품의약품안전처",F103-001010000-0006,BK 면역 플러스,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1정,1회,식품의약품안전처,2022-03-07,5
hff_F102-050500000-0005,"제품명: BK 프로바이오틱스 분류: 프로바이오틱스 영양성분 제공 단위량: 170mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 170mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 CHR. HANSEN A/S, 수입업체 (주)엘케이팔마, 원산지 덴마크 출처: 식품의약품안전처",F102-050500000-0005,BK 프로바이오틱스,프로바이오틱스,프로바이오틱스,1캡슐,1회,식품의약품안전처,2023-06-13,5
hff_F102-007070000-0001,"제품명: BN케어 프리미엄 분류: 프로폴리스추출물 영양성분 제공 단위량: 2000mg 복용/섭취 기준: 1회분량 2캡슐, 1회분량중량/부피 2000mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 PHIL INTER PHARMA USA, INC., 수입업체 주식회사코스모팜, 원산지 미국 출처: 식품의약품안전처",F102-007070000-0001,BN케어 프리미엄,프로폴리스추출물,프로폴리스추출물,2캡슐,1회,식품의약품안전처,2023-04-06,5
